component,website,brand_name,rating,rating_count,reviews,discount_price,original_price,discount_percent,bank_offers,delivery,specification
pendrive,https://www.flipkart.com/hp-v220w-flash-drive-128-gb-pen/p/itme9f768e01961c?pid=ACCGUGYJZFRHARSX&lid=LSTACCGUGYJZFRHARSXJBJXQI&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Pendrives&iid=9a302489-3d9e-4f8d-9dcc-a33192e83667.ACCGUGYJZFRHARSX.SEARCH&ssid=f79gaaf57k0000001707114179166,HP V220W Flash Drive 128 GB Pen Drive  (Silver),3.8,893 Ratings , 176 Reviews,₹489,"₹1,009",51% off,"('Bank Offer Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above T&C', 'Bank Offer 8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹750 off on OneCard Credit Card Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹1,250 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Bank Offer Extra ₹500 off on OneCard Credit Card Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer Extra ₹1,000 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C')","['Delivery by8 Feb, Thursday|Free₹40?']","[{'specs': {'Sales Package': '128 GB PENDRIVE', 'Model Name': 'V220W Flash Drive', 'Net Quantity': '1'}}]"
pendrive,https://www.flipkart.com/hp-v220m-128-gb-pen-drive/p/itm5a334e9c98d14?pid=ACCGSYF4PSGPQSNM&lid=LSTACCGSYF4PSGPQSNMOMNBCR&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Pendrives&iid=9a302489-3d9e-4f8d-9dcc-a33192e83667.ACCGSYF4PSGPQSNM.SEARCH&ssid=f79gaaf57k0000001707114179166,HP v220m 128 GB Pen Drive  (Grey),3.8,917 Ratings , 142 Reviews,₹475,₹900,47% off,"('Bank Offer Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above T&C', 'Bank Offer 8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹750 off on OneCard Credit Card Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹1,250 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Bank Offer Extra ₹500 off on OneCard Credit Card Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer Extra ₹1,000 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C')","['Delivery by8 Feb, Thursday|Free₹40?']","[{'specs': {'Sales Package': 'BABLS', 'Model Name': 'v220m', 'Net Quantity': '1'}}]"
pendrive,https://www.flipkart.com/hp-v236w-64-gb-pen-drive/p/itm5ebf1d4df62d8?pid=ACCEMA53DFSNZMHU&lid=LSTACCEMA53DFSNZMHUDUOPKM&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Pendrives&iid=9a302489-3d9e-4f8d-9dcc-a33192e83667.ACCEMA53DFSNZMHU.SEARCH&ssid=f79gaaf57k0000001707114179166,HP V236w 64 GB Pen Drive  (Silver),4.2,"61,377 Ratings "," 5,102 Reviews",₹429,"₹1,500",71% off,"('Bank Offer Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above T&C', 'Bank Offer 8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹750 off on OneCard Credit Card Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Special Price Get extra 36% off (price inclusive of cashback/coupon) T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹1,250 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Bank Offer Extra ₹500 off on OneCard Credit Card Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer Extra ₹1,000 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C')","['Delivery by8 Feb, Thursday|₹40?']","[{'General': {'Sales Package': 'HP USB 2.0 Flash Drive', 'Model Name': 'V236w', 'Read Speed': 'Up to 30MB/s', 'Write Speed': 'Up to 20MB/s', 'Supported OS': 'Windows 7, 8, 10, Mac OS: 10.x and above', 'Part Number': 'HPFD236W-64', 'Width': '14.8 mm', 'Height': '45 mm', 'Depth': '5 mm', 'Weight': '6.4 g', 'Net Quantity': '1'}}, {'Warranty': {'Covered in Warranty': 'Manufacturing Defects', 'Warranty Service Type': 'Limited Warranty', 'Not Covered in Warranty': 'Physical Damages', 'Warranty Summary': '2 Year Limited Warranty', 'Domestic Warranty': '2 Year'}}]"
pendrive,https://www.flipkart.com/sandisk-cruze-blade-sdcz50-64-gb-pen-drive/p/itm77a3e7c8c4f3a?pid=ACCDZ583WDDSDY3F&lid=LSTACCDZ583WDDSDY3FY0BYBM&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&spotlightTagId=FkPickId_6bo%2Fjdy%2Fuar&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Pendrives&fm=organic&iid=9a302489-3d9e-4f8d-9dcc-a33192e83667.ACCDZ583WDDSDY3F.SEARCH&ppt=browse&ppn=browse&ssid=f79gaaf57k0000001707114179166,"SanDisk Cruze Blade SDCZ50 64 GB Pen Drive  (Red, Black)",4.2,"1,66,861 Ratings "," 16,139 Reviews",₹459,"₹1,100",58% off,"('Bank Offer Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above T&C', 'Bank Offer 8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹750 off on OneCard Credit Card Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Special Price Get extra 20% off (price inclusive of cashback/coupon) T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹1,250 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Bank Offer Extra ₹500 off on OneCard Credit Card Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer Extra ₹1,000 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C')","['Delivery by8 Feb, Thursday|Free₹40?']","[{'General': {'Sales Package': '1 USB Pen Drive', 'Model Name': 'Cruze Blade SDCZ50', 'Opening Mechanism': 'Standarad', 'Read Speed': 'Na', 'Write Speed': 'NA', 'Supported OS': 'Windows 7, Windows 8, Windows 10, Mac OS X v10.9+', 'Part Number': 'SDCZ50-064G-I35', 'Width': '17.6 mm', 'Height': '41.5 mm', 'Depth': '7.4 mm', 'Weight': '2.5 g', 'Other Dimensions': '12.6 cm, 7.6 cm, 0.5 cm', 'Other Features': 'Approximations: results will vary based on file size, resolution, compression, bit rate, content, host device, pre-loaded files and other factors.', 'Net Quantity': '1'}}, {'Warranty': {'Covered in Warranty': 'Manufacturing Defects only', 'Warranty Service Type': 'Carry-in', 'Not Covered in Warranty': 'Physically Damaged', 'Warranty Summary': '5 Years Warranty', 'International Warranty': '5 Year', 'Domestic Warranty': '5 Year'}}]"
pendrive,https://www.flipkart.com/hp-usb-2-0-flash-drie-64gb-v236w-64-gb-pen-drive/p/itm5ebf1d4df62d8?pid=ACCG5ZJCJHGKYBGA&lid=LSTACCG5ZJCJHGKYBGAYJGTI4&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Pendrives&iid=9a302489-3d9e-4f8d-9dcc-a33192e83667.ACCG5ZJCJHGKYBGA.SEARCH&ssid=f79gaaf57k0000001707114179166,HP USB 2.0 FLASH DRIE 64GB (V236W) 64 GB Pen Drive  (Silver),3.7,51 Ratings , 2 Reviews,₹424,"₹1,200",64% off,"('Bank Offer Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above T&C', 'Bank Offer 8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹750 off on OneCard Credit Card Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Special Price Get extra 25% off (price inclusive of cashback/coupon) T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹1,250 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Bank Offer Extra ₹500 off on OneCard Credit Card Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer Extra ₹1,000 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C')","['Delivery by8 Feb, Thursday|Free₹40?']","[{'General': {'Sales Package': '64GB PENDRIVE ONLY', 'Model Name': 'USB 2.0 FLASH DRIE 64GB (V236W)', 'Opening Mechanism': 'Standrad', 'Read Speed': 'upto 30mbps', 'Write Speed': 'upto 20mbps', 'Supported OS': 'Windows XP, Mac Ios, Android, Ios', 'Part Number': 'HPFD236W-64', 'Other Features': 'NA', 'Net Quantity': '1'}}, {'Warranty': {'Covered in Warranty': 'Manufacturing defacts', 'Warranty Service Type': 'Replacement', 'Not Covered in Warranty': 'Physical damage', 'Warranty Summary': 'Limited 2 Years Warranty', 'International Warranty': '2 Year', 'Domestic Warranty': '2 Year'}}]"
pendrive,https://www.flipkart.com/hp-v220q-64-gb-pen-drive/p/itmff7n3tdyjwb5g?pid=ACCFTK5FEAANMHGB&lid=LSTACCFTK5FEAANMHGBMQUWC0&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&spotlightTagId=TrendingId_6bo%2Fjdy%2Fuar&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Pendrives&iid=9a302489-3d9e-4f8d-9dcc-a33192e83667.ACCFTK5FEAANMHGB.SEARCH&ssid=f79gaaf57k0000001707114179166,HP V220q 64 GB Pen Drive  (Silver),3.7,"3,214 Ratings ", 347 Reviews,₹375,₹799,53% off,"('Bank Offer Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above T&C', 'Bank Offer 8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹750 off on OneCard Credit Card Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Special Price Get extra 24% off (price inclusive of cashback/coupon) T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹1,250 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Bank Offer Extra ₹500 off on OneCard Credit Card Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer Extra ₹1,000 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C')","['Delivery by8 Feb, Thursday|Free₹40?']","[{'General': {'Sales Package': '1', 'Model Name': 'V220q', 'Opening Mechanism': 'Standrad', 'Read Speed': 'Up to 30 MB/s (USB 2.0)', 'Write Speed': 'Up to 20 MB/s(USB 2.0)', 'Supported OS': 'Windows XP, Mac Ios, Android, Ios', 'Part Number': 'HPFD220W-64', 'Other Features': 'NA', 'Net Quantity': '1'}}, {'Warranty': {'Covered in Warranty': 'Manufacturing defacts', 'Warranty Service Type': 'Replacement', 'Not Covered in Warranty': 'Physical damage', 'Warranty Summary': 'Limited 2 Years Warranty', 'International Warranty': '2 Year', 'Domestic Warranty': '2 Year'}}]"
pendrive,https://www.flipkart.com/hp-mt-v220w-128-gb-pen-drive/p/itmdcae9d08944c2?pid=ACCGSFHA35DBPKJK&lid=LSTACCGSFHA35DBPKJKVQUO8J&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Pendrives&iid=9a302489-3d9e-4f8d-9dcc-a33192e83667.ACCGSFHA35DBPKJK.SEARCH&ssid=f79gaaf57k0000001707114179166,HP MT v220w 128 GB Pen Drive  (Multicolor),3.7,"7,079 Ratings ", 892 Reviews,₹474,₹999,52% off,"('Bank Offer Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above T&C', 'Bank Offer 8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹750 off on OneCard Credit Card Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Special Price Get extra 5% off (price inclusive of cashback/coupon) T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹1,250 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Bank Offer Extra ₹500 off on OneCard Credit Card Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer Extra ₹1,000 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C')","['Delivery by8 Feb, Thursday|Free₹40?']","[{'General': {'Sales Package': '1 pendrive, 1 Tyep c OTG Micro', 'Model Name': 'MT v220w', 'Opening Mechanism': 'Standrad', 'Read Speed': 'Up to 30 MB/s (USB 2.0)', 'Write Speed': 'Up to 20 MB/s(USB 2.0)', 'Supported OS': 'Windows XP, Mac Ios, Android, Ios', 'Part Number': 'HPFD220W-128', 'Other Dimensions': 'V8/TYPE-C OTG connector', 'Other Features': 'NA', 'Net Quantity': '1'}}, {'Warranty': {'Covered in Warranty': 'Manufacturing defacts', 'Warranty Service Type': 'Replacement', 'Not Covered in Warranty': 'Physical damage', 'Warranty Summary': 'Limited 2 Years Warranty', 'International Warranty': '2 Year', 'Domestic Warranty': '2 Year'}}]"
pendrive,https://www.flipkart.com/sandisk-sdddc4-128g-i35-128-gb-otg-drive/p/itm7c9d8e23060e9?pid=ACCFUZPGFMH2YBJU&lid=LSTACCFUZPGFMH2YBJUDIFSGB&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Pendrives&iid=9a302489-3d9e-4f8d-9dcc-a33192e83667.ACCFUZPGFMH2YBJU.SEARCH&ssid=f79gaaf57k0000001707114179166,"SanDisk SDDDC4-128G-I35 128 GB OTG Drive  (Silver, Type A to Type C)",4.2,"26,782 Ratings "," 2,806 Reviews","₹1,299","₹2,100",38% off,"('Bank Offer Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above T&C', 'Bank Offer 8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹750 off on OneCard Credit Card Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹1,250 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Bank Offer Extra ₹500 off on OneCard Credit Card Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer Extra ₹1,000 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C')","['Delivery by8 Feb, Thursday|Free₹40?']","[{'specs': {'Sales Package': '1 PENDRIVE', 'Model Name': 'SDDDC4-128G-I35', 'Part Number': 'SDDDC4-128G-I35', 'Net Quantity': '1'}}]"
pendrive,https://www.flipkart.com/hp-v250w-128-gb-pen-drive/p/itmb414e840fe952?pid=ACCGTGBHVHQJVDCG&lid=LSTACCGTGBHVHQJVDCGVWATZQ&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Pendrives&iid=9a302489-3d9e-4f8d-9dcc-a33192e83667.ACCGTGBHVHQJVDCG.SEARCH&ssid=f79gaaf57k0000001707114179166,HP v250w 128 GB Pen Drive  (Silver),3.9,35 Ratings , 3 Reviews,₹789,"₹1,299",39% off,"('Bank Offer Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above T&C', 'Bank Offer 8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹750 off on OneCard Credit Card Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹1,250 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Bank Offer Extra ₹500 off on OneCard Credit Card Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer Extra ₹1,000 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C')","['Delivery by8 Feb, Thursday|Free₹40?']","[{'specs': {'Sales Package': '2 pendrive', 'Model Name': 'v250w', 'Read Speed': 'upto 30mbps', 'Pack of': 'Pack of 2', 'Write Speed': 'upto 20mbps', 'Net Quantity': '2'}}]"
pendrive,https://www.flipkart.com/hp-v220w-2in-otg-free-128-gb-pen-drive/p/itm4dbbb1ebea863?pid=ACCGWNP4GVRUSZBN&lid=LSTACCGWNP4GVRUSZBN3TPDYG&marketplace=FLIPKART&store=6bo%2Fjdy%2Fuar&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Pendrives&iid=9a302489-3d9e-4f8d-9dcc-a33192e83667.ACCGWNP4GVRUSZBN.SEARCH&ssid=f79gaaf57k0000001707114179166,HP v220w 2IN OTG FREE 128 GB Pen Drive  (Silver),4,,,₹489,₹900,45% off,"('Bank Offer Flat ₹1,000 off on OneCard Credit Card and Credit EMI Transactions on orders of ₹10,000 and above T&C', 'Bank Offer 8% off on Yes Bank Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹750 off on OneCard Credit Card Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹1,250 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹29,990 and above T&C', 'Bank Offer Extra ₹500 off on OneCard Credit Card Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer Extra ₹1,000 off on OneCard Credit Card EMI Transactions on a Net Cart Value of ₹49,990 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C')","['Delivery by8 Feb, Thursday|Free₹40?']","[{'specs': {'Sales Package': '2IN OTG FREE', 'Model Name': 'v220w 2IN OTG FREE', 'Net Quantity': '1'}}]"
