component,website,brand_name,rating,rating_count,reviews,discount_price,original_price,discount_percent,bank_offers,delivery,specification
wireless_headphones,https://www.flipkart.com/zebronics-zeb-thunder-60h-playback-gaming-mode-bluetooth-headset/p/itm8c04ce037939c?pid=ACCFBHDEHZFK6M2Y&lid=LSTACCFBHDEHZFK6M2YEW7GQQ&marketplace=FLIPKART&store=fcn%2Fgc3%2Fka8&srno=b_1_1&otracker=browse&iid=d5b63122-a0c8-4a08-bb5d-e7fc6c984ed2.ACCFBHDEHZFK6M2Y.SEARCH&ssid=olphda24pc0000001706521691526,"ZEBRONICS ZEB-THUNDER 60H Playback, Gaming Mode Bluetooth Headset  (Black, On the Ear)",4,"49,288 Ratings "," 6,527 Reviews",₹799,"₹1,399",42% off,"('Bank Offer 10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above T&C', 'Bank Offer 10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹1,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹29,999 and above T&C', 'Special Price Get extra 5% off (price inclusive of cashback/coupon) T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'No Cost EMI* with Flipkart Pay Later EMI T&C', 'Bank Offer Extra ₹2,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹49,999 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C', 'Buy for 100 get ₹75 off your Next Buy T&C')","['Delivery by5 Feb, Monday|Free₹40?']","[{'General': {'Model Name': 'ZEB-Thunder', 'Color': 'Black', 'Headphone Type': 'On the Ear', 'Inline Remote': 'No', 'Sales Package': '1 Headphone, Aux Cable, Charging Cable, User Manual', 'Connectivity': 'Bluetooth', 'Headphone Design': 'Over the Head', 'Compatible Devices': 'Tablet, Mobile'}}, {'Product Details': {'Sweat Proof': 'No', 'Foldable/Collapsible': 'No', 'Deep Bass': 'No', 'Water Resistant': 'No', 'Monaural': 'No', 'Designed For': 'Android Mobile Phone, All Model Mobile Phone, SMARTPHONES, Tablets, Music Players', 'With Microphone': 'Yes'}}, {'Connectivity Features': {'Play Time': '60 hr', 'Standby Time': '400 hr'}}, {'Warranty': {'Domestic Warranty': '1 Year', 'Warranty Summary': '1 year carry in to service', 'Warranty Service Type': 'Carry to Service centre.', 'Covered in Warranty': 'headphone', 'Not Covered in Warranty': 'physical damage'}}]"
wireless_headphones,https://www.flipkart.com/boat-rockerz-510-super-extra-bass-bluetooth-headset/p/itmff01afde836ed?pid=ACCEZB5HSGRXTYVF&lid=LSTACCEZB5HSGRXTYVFRZ9MIP&marketplace=FLIPKART&store=fcn%2Fgc3%2Fka8&srno=b_1_2&otracker=browse&iid=d5b63122-a0c8-4a08-bb5d-e7fc6c984ed2.ACCEZB5HSGRXTYVF.SEARCH&ssid=olphda24pc0000001706521691526,"boAt Rockerz 510 Super Extra Bass Bluetooth Headset  (Furious blue, On the Ear)",4.3,"2,53,719 Ratings "," 29,799 Reviews","₹1,599","₹3,490",54% off,"('Bank Offer 10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above T&C', 'Bank Offer 10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹1,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹29,999 and above T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'No Cost EMI* with Flipkart Pay Later EMI T&C', 'Bank Offer Extra ₹2,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹49,999 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C', 'Buy for 100 get ₹75 off your Next Buy T&C')",,"[{'General': {'Model Name': 'Rockerz on ear 510 / Rockerz 518', 'Color': 'Furious blue', 'Headphone Type': 'On the Ear', 'Inline Remote': 'Yes', 'Sales Package': 'Rockerz 510, Charging Cable, User Manual, Warranty Card, Aux Cable', 'Connectivity': 'Bluetooth', 'Compatible Devices': 'Tablet, Mobile, Audio Player, Laptop'}}, {'Product Details': {'Sweat Proof': 'No', 'Foldable/Collapsible': 'No', 'Deep Bass': 'Yes', 'Water Resistant': 'No', 'Monaural': 'No', 'Designed For': 'All bluetooth and/or 3.5mm compatible devices', 'Headphone Driver Units': '50 mm', 'With Microphone': 'Yes'}}, {'Sound Features': {'Impedance': '32 ohm'}}, {'Connectivity Features': {'Wireless Type': 'Bluetooth', 'Bluetooth Version': '4.1', 'Bluetooth Range': '10 m', 'Battery Life': '20 hrs', 'Charging Time': '2.5', 'Play Time': '20 HOURS'}}, {'Warranty': {'Domestic Warranty': '1 Year', 'Warranty Summary': '1 year National Warranty', 'Warranty Service Type': 'Carry in to service centre or reach out to us at info@imaginemarketingindia.com/+912249461882/support.boat-lifestyle.com. Alternatively you can activate your warranty by giving a missed call on 9223032222', 'Covered in Warranty': 'Manufacturing defects', 'Not Covered in Warranty': 'Physical or liquid damage'}}]"
wireless_headphones,https://www.flipkart.com/boat-rockerz-425-w-25-hrs-playtime-40-mm-drivers-beast-mode-enx-tech-dual-pairing-bluetooth-headset/p/itm6e167984a78ce?pid=ACCG8MXCWYYWQQMY&lid=LSTACCG8MXCWYYWQQMYD6ESHP&marketplace=FLIPKART&store=fcn%2Fgc3%2Fka8&srno=b_1_3&otracker=browse&iid=d5b63122-a0c8-4a08-bb5d-e7fc6c984ed2.ACCG8MXCWYYWQQMY.SEARCH&ssid=olphda24pc0000001706521691526,"boAt Rockerz 425 w/ 25 hrs Playtime,40 mm Drivers, BEAST Mode,ENx Tech & Dual Pairing Bluetooth Headset  (Oceana Blue, On the Ear)",3.6,80 Ratings , 6 Reviews,"₹1,499","₹2,999",50% off,"('Bank Offer 10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above T&C', 'Bank Offer 10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹1,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹29,999 and above T&C', 'Special Price Get extra 50% off (price inclusive of cashback/coupon) T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'No Cost EMI* with Flipkart Pay Later EMI T&C', 'Bank Offer Extra ₹2,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹49,999 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C', 'Buy for 100 get ₹75 off your Next Buy T&C')","['Delivery by5 Feb, Monday|Free₹40?']","[{'General': {'Model Name': 'Rockerz 425', 'Color': 'Oceana Blue', 'Headphone Type': 'On the Ear', 'Inline Remote': 'No', 'Sales Package': '1 Headphone, Charging Cable, User Manual, Warranty Card', 'Connectivity': 'Bluetooth', 'Headphone Design': 'Over the Head', 'Compatible Devices': 'Laptop, Mobile, Tablet'}}, {'Product Details': {'Foldable/Collapsible': 'No', 'Deep Bass': 'Yes', 'With Microphone': 'Yes'}}, {'Connectivity Features': {'Bluetooth Version': '5.2', 'Bluetooth Range': '10 m'}}, {'Warranty': {'Domestic Warranty': '1 Year', 'Warranty Summary': '1 Year Warranty from the Date of Purchase', 'Warranty Service Type': 'Reach Out to us at info@imaginemarketingindia.com', 'Covered in Warranty': 'Manufacturing Defects', 'Not Covered in Warranty': 'Physical Damages'}}]"
wireless_headphones,https://www.flipkart.com/boat-rockerz-425-w-25-hrs-playtime-40-mm-drivers-beast-mode-enx-tech-dual-pairing-bluetooth-headset/p/itmf6c8bd79b9e92?pid=ACCG8MXC48MZQ5DG&lid=LSTACCG8MXC48MZQ5DGZSL4VV&marketplace=FLIPKART&store=fcn%2Fgc3%2Fka8&srno=b_1_4&otracker=browse&iid=d5b63122-a0c8-4a08-bb5d-e7fc6c984ed2.ACCG8MXC48MZQ5DG.SEARCH&ssid=olphda24pc0000001706521691526,"boAt Rockerz 425 w/ 25 hrs Playtime,40 mm Drivers, BEAST Mode,ENx Tech & Dual Pairing Bluetooth Headset  (Ash Grey, On the Ear)",3.6,80 Ratings , 6 Reviews,"₹1,499","₹2,999",50% off,"('Bank Offer 10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above T&C', 'Bank Offer 10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹1,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹29,999 and above T&C', 'Special Price Get extra 50% off (price inclusive of cashback/coupon) T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'No Cost EMI* with Flipkart Pay Later EMI T&C', 'Bank Offer Extra ₹2,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹49,999 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C', 'Buy for 100 get ₹75 off your Next Buy T&C')","['Delivery by5 Feb, Monday|Free₹40?']","[{'General': {'Model Name': 'Rockerz 425', 'Color': 'Ash Grey', 'Headphone Type': 'On the Ear', 'Inline Remote': 'No', 'Sales Package': '1 Headphone, Charging Cable, User Manual, Warranty Card', 'Connectivity': 'Bluetooth', 'Headphone Design': 'Over the Head', 'Compatible Devices': 'Laptop, Mobile, Tablet'}}, {'Product Details': {'Foldable/Collapsible': 'No', 'Deep Bass': 'Yes', 'With Microphone': 'Yes'}}, {'Connectivity Features': {'Bluetooth Version': '5.2', 'Bluetooth Range': '10 m'}}, {'Warranty': {'Domestic Warranty': '1 Year', 'Warranty Summary': '1 Year Warranty from the Date of Purchase', 'Warranty Service Type': 'Reach Out to us at info@imaginemarketingindia.com', 'Covered in Warranty': 'Manufacturing Defects', 'Not Covered in Warranty': 'Physical Damages'}}]"
wireless_headphones,https://www.flipkart.com/immutable-p49-wireless-sports-headphone-bluetooth-headset-multi-dcwede26-wired-headset/p/itmc8dba5780d0b7?pid=ACCGW72HMJ6WA2QY&lid=LSTACCGW72HMJ6WA2QYRML7PF&marketplace=FLIPKART&store=fcn%2Fgc3%2Fka8&srno=b_1_5&otracker=browse&iid=d5b63122-a0c8-4a08-bb5d-e7fc6c984ed2.ACCGW72HMJ6WA2QY.SEARCH&ssid=olphda24pc0000001706521691526,"IMMUTABLE P49 Wireless Sports Headphone Bluetooth Headset(multi)dcwede26 Bluetooth & Wired Headset  (Multicolor, On the Ear)",4.1,,,₹499,"₹1,499",66% off,"('Bank Offer 10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above T&C', 'Bank Offer 10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹1,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹29,999 and above T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹2,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹49,999 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C', 'Buy for 100 get ₹75 off your Next Buy T&C')","['Delivery by5 Feb, Monday|Free₹40?']","[{'General': {'Model Name': 'P49 Wireless Sports Headphone Bluetooth Headset(multi)dcwede26', 'Color': 'Multicolor', 'Headphone Type': 'On the Ear', 'Inline Remote': 'Yes', 'Sales Package': 'headphone with charging cable', 'Connectivity': 'Bluetooth & Wired', 'Headphone Design': 'Foldable Over the Head', 'Compatible Devices': 'Audio Player'}}, {'Product Details': {'Deep Bass': 'Yes', 'With Microphone': 'Yes'}}, {'Warranty': {'Warranty Summary': 'manufacturing defects only', 'Covered in Warranty': 'na'}}]"
wireless_headphones,https://www.flipkart.com/boat-rockerz-460-upto-30-hours-playback-beast-mode-enx-technology-bluetooth-headset/p/itmca7474b1624ab?pid=ACCGE9G26EJKT2PF&lid=LSTACCGE9G26EJKT2PFUMXMF8&marketplace=FLIPKART&store=fcn%2Fgc3%2Fka8&srno=b_1_6&otracker=browse&iid=d5b63122-a0c8-4a08-bb5d-e7fc6c984ed2.ACCGE9G26EJKT2PF.SEARCH&ssid=olphda24pc0000001706521691526,"boAt Rockerz 460 with upto 30 Hours Playback, Beast Mode & ENx Technology Bluetooth Headset  (Bold Blue, On the Ear)",4.2,"4,179 Ratings ", 405 Reviews,"₹1,799","₹2,490",27% off,"('Bank Offer 10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above T&C', 'Bank Offer 10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹1,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹29,999 and above T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'No Cost EMI* with Flipkart Pay Later EMI T&C', 'Bank Offer Extra ₹2,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹49,999 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C', 'Buy for 100 get ₹75 off your Next Buy T&C')","['Delivery by1 Feb, Thursday|Free₹40?']","[{'General': {'Model Name': 'Rockerz 460', 'Color': 'Bold Blue', 'Headphone Type': 'On the Ear', 'Inline Remote': 'No', 'Sales Package': '1 Headphone, Charging Cable, User Manual, Warranty Card', 'Connectivity': 'Bluetooth', 'Headphone Design': 'Over the Head', 'Compatible Devices': 'Mobile, Laptop, Tablet'}}, {'Product Details': {'Deep Bass': 'Yes', 'Other Features': 'Beast Mode (Low Latency for Gaming), Enx (For Clear Voice Calls), 40 mm Drivers, Upto 30 Hours Playback', 'With Microphone': 'Yes'}}, {'Connectivity Features': {'Bluetooth Version': '5.2', 'Bluetooth Range': '10 m'}}, {'Warranty': {'Domestic Warranty': '1 Year', 'Warranty Summary': '1 Year Warranty from the Date of Purchase', 'Warranty Service Type': 'In Case Any Query Please Reach Out to Us at info@imaginemarketingindia.com. Call on +91169181920 and WhatsApp on +919667700177', 'Covered in Warranty': 'Manufacturing Defects', 'Not Covered in Warranty': 'Physical Damages'}}]"
wireless_headphones,https://www.flipkart.com/boat-rockerz-425-w-25-hrs-playtime-40-mm-drivers-beast-mode-enx-tech-dual-pairing-bluetooth-headset/p/itme2d3b64d9891b?pid=ACCG8MXCJKCFHA7X&lid=LSTACCG8MXCJKCFHA7XNSCL6Z&marketplace=FLIPKART&store=fcn%2Fgc3%2Fka8&srno=b_1_7&otracker=browse&iid=d5b63122-a0c8-4a08-bb5d-e7fc6c984ed2.ACCG8MXCJKCFHA7X.SEARCH&ssid=olphda24pc0000001706521691526,"boAt Rockerz 425 w/ 25 hrs Playtime,40 mm Drivers, BEAST Mode,ENx Tech & Dual Pairing Bluetooth Headset  (Active Black, On the Ear)",3.6,80 Ratings , 6 Reviews,"₹1,499","₹2,999",50% off,"('Bank Offer 10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above T&C', 'Bank Offer 10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹1,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹29,999 and above T&C', 'Special Price Get extra 50% off (price inclusive of cashback/coupon) T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'No Cost EMI* with Flipkart Pay Later EMI T&C', 'Bank Offer Extra ₹2,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹49,999 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C', 'Buy for 100 get ₹75 off your Next Buy T&C')","['Delivery by5 Feb, Monday|Free₹40?']","[{'General': {'Model Name': 'Rockerz 425', 'Color': 'Active Black', 'Headphone Type': 'On the Ear', 'Inline Remote': 'No', 'Sales Package': '1 Headphone, Charging Cable, User Manual, Warranty Card', 'Connectivity': 'Bluetooth', 'Headphone Design': 'Over the Head', 'Compatible Devices': 'Laptop, Mobile, Tablet'}}, {'Product Details': {'Foldable/Collapsible': 'No', 'Deep Bass': 'Yes', 'With Microphone': 'Yes'}}, {'Connectivity Features': {'Bluetooth Version': '5.2', 'Bluetooth Range': '10 m'}}, {'Warranty': {'Domestic Warranty': '1 Year', 'Warranty Summary': '1 Year Warranty from the Date of Purchase', 'Warranty Service Type': 'Reach Out to us at info@imaginemarketingindia.com', 'Covered in Warranty': 'Manufacturing Defects', 'Not Covered in Warranty': 'Physical Damages'}}]"
wireless_headphones,https://www.flipkart.com/boat-rockerz-460-upto-30-hours-playback-beast-mode-enx-technology-bluetooth-headset/p/itm7241463b06def?pid=ACCGE9G2SREVZUHZ&lid=LSTACCGE9G2SREVZUHZBEPDIM&marketplace=FLIPKART&store=fcn%2Fgc3%2Fka8&srno=b_1_8&otracker=browse&iid=d5b63122-a0c8-4a08-bb5d-e7fc6c984ed2.ACCGE9G2SREVZUHZ.SEARCH&ssid=olphda24pc0000001706521691526,"boAt Rockerz 460 with upto 30 Hours Playback, Beast Mode & ENx Technology Bluetooth Headset  (Crimson White, On the Ear)",4.2,"4,179 Ratings ", 405 Reviews,"₹1,799","₹2,490",27% off,"('Bank Offer 10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above T&C', 'Bank Offer 10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹1,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹29,999 and above T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'No Cost EMI* with Flipkart Pay Later EMI T&C', 'Bank Offer Extra ₹2,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹49,999 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C', 'Buy for 100 get ₹75 off your Next Buy T&C')","['Delivery by1 Feb, Thursday|Free₹40?']","[{'General': {'Model Name': 'Rockerz 460', 'Color': 'Crimson White', 'Headphone Type': 'On the Ear', 'Inline Remote': 'No', 'Sales Package': '1 Headphone, Charging Cable, User Manual, Warranty Card', 'Connectivity': 'Bluetooth', 'Headphone Design': 'Over the Head', 'Compatible Devices': 'Mobile, Laptop, Tablet'}}, {'Product Details': {'Deep Bass': 'Yes', 'Other Features': 'Beast Mode (Low Latency for Gaming), Enx (For Clear Voice Calls), 40 mm Drivers, Upto 30 Hours Playback', 'With Microphone': 'Yes'}}, {'Connectivity Features': {'Bluetooth Version': '5.2', 'Bluetooth Range': '10 m'}}, {'Warranty': {'Domestic Warranty': '1 Year', 'Warranty Summary': '1 Year Warranty from the Date of Purchase', 'Warranty Service Type': 'In Case Any Query Please Reach Out to Us at info@imaginemarketingindia.com. Call on +91169181920 and WhatsApp on +919667700177', 'Covered in Warranty': 'Manufacturing Defects', 'Not Covered in Warranty': 'Physical Damages'}}]"
wireless_headphones,https://www.flipkart.com/gadget-master-onepluz-c-3-bluetooth-headset/p/itmfec251b5b60ef?pid=ACCGX2BQ7FUZKPG7&lid=LSTACCGX2BQ7FUZKPG7ZHFZB7&marketplace=FLIPKART&store=fcn%2Fgc3%2Fka8&srno=b_1_9&otracker=browse&iid=d5b63122-a0c8-4a08-bb5d-e7fc6c984ed2.ACCGX2BQ7FUZKPG7.SEARCH&ssid=olphda24pc0000001706521691526,"Gadget Master onepluz_c-3 Bluetooth Headset  (Black, On the Ear)",3.8,,,₹749,"₹2,999",75% off,"('Special Price Get extra 6% off (price inclusive of cashback/coupon) T&C', 'Bank Offer 10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above T&C', 'Bank Offer 10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹1,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹29,999 and above T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹2,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹49,999 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C', 'Buy for 100 get ₹75 off your Next Buy T&C')","['Delivery by5 Feb, Monday|Free₹40?']","[{'General': {'Model Name': 'onepluz_c-3', 'Color': 'Black', 'Headphone Type': 'On the Ear', 'Inline Remote': 'Yes', 'Sales Package': 'User Manual', 'Connectivity': 'Bluetooth', 'Headphone Design': 'Behind the Neck', 'Accessories Included': 'User Manual', 'Compatible Devices': 'Mobile', 'Net Quantity': '1'}}, {'Product Details': {'Sweat Proof': 'Yes', 'Foldable/Collapsible': 'Yes', 'Deep Bass': 'Yes', 'Water Resistant': 'Yes', 'Monaural': 'Yes', 'Designed For': 'Apple,Android', 'Series': 'c-3', 'System Requirements': 'Vista', 'Circumaural/Supraaural': 'circumaural', 'Open/Closed Back': 'open', 'Magnet Type': 'Ferrite', 'Driver Type': 'Electret', 'Indicators': 'Battery level indicator,power indicator,connection status indicator', 'Controls': 'volume control,on-off,reset', 'Technology Used': 'DSP', 'Boom Microphone': 'Yes', 'With Microphone': 'Yes'}}, {'Sound Features': {'Modulation': 'MSK Digital', 'Other Sound Features': 'Deep Bass'}}, {'Connectivity Features': {'Wireless Type': 'Bluetooth', 'Wireless Range': '10 m', 'Bluetooth Profiles': 'A2DP', 'Bluetooth Version': '5.1', 'Bluetooth Range': '10 m', 'Headphone Power Source': 'Battery', 'Battery Life': '180 hr', 'Charging Time': '1-2 hours', 'Play Time': '48 hr', 'Standby Time': '180 hr', 'Other Power Features': 'Fast Charge'}}, {'Warranty': {'Warranty Service Type': 'NA', 'Covered in Warranty': 'NA'}}]"
wireless_headphones,https://www.flipkart.com/zebronics-zeb-dynamic-bluetooth-wireless-headphone-mic-30-h-playback-call-function-headset/p/itm8651ad68b6441?pid=ACCGHPUDHKGANBYG&lid=LSTACCGHPUDHKGANBYGU2MH6B&marketplace=FLIPKART&store=fcn%2Fgc3%2Fka8&srno=b_1_10&otracker=browse&iid=d5b63122-a0c8-4a08-bb5d-e7fc6c984ed2.ACCGHPUDHKGANBYG.SEARCH&ssid=olphda24pc0000001706521691526,"ZEBRONICS Zeb Dynamic Bluetooth Wireless Headphone With Mic 30*H Playback, Call Function. Bluetooth Headset  (Black, On the Ear)",4,333 Ratings , 27 Reviews,"₹1,424","₹1,999",28% off,"('Bank Offer 10% off on Canara Bank Credit Card Transactions, up to ₹1,500 on orders of ₹5,000 and above T&C', 'Bank Offer 10% off on Citi-branded Credit Card EMI Transactions, up to ₹2,000 on orders of ₹10,000 and above T&C', 'Bank Offer Extra ₹1,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹29,999 and above T&C', 'Special Price Get extra 5% off (price inclusive of cashback/coupon) T&C', 'Buy This Product and get ₹500 Off on Next AC Purchase* T&C', 'Buy for 100 get ₹225 off your Next Buy T&C', 'Bank Offer Extra ₹2,000 off on Citi-branded Credit EMI Transactions on a Net Cart Value of ₹49,999 and above T&C', 'Bank Offer 5% Cashback on Flipkart Axis Bank Card T&C', 'Buy for 100 get ₹100 off your Next Buy T&C', 'Buy for 100 get ₹200 off your Next Buy T&C', 'Buy for 100 get ₹30 off your Next Buy T&C', 'Buy for 100 get ₹300 off your Next Buy T&C', 'Buy for 100 get ₹75 off your Next Buy T&C')","['Delivery by5 Feb, Monday|Free?']","[{'General': {'Model Name': 'Zeb Dynamic Bluetooth Wireless Headphone With Mic 30*H Playback, Call Function.', 'Color': 'Black', 'Headphone Type': 'On the Ear', 'Inline Remote': 'Yes', 'Sales Package': 'Headphone - 1 unit, Charging cable - 1 unit, AUX Cable - 1 unit', 'Connectivity': 'Bluetooth', 'Headphone Design': 'Over the Head', 'Compatible Devices': 'Mobile, Laptop'}}, {'Product Details': {'Deep Bass': 'No', 'Connector Size': '40 mm', 'Headphone Driver Units': '40 mm', 'Microphone Impedance': '2.2 ohm', 'With Microphone': 'Yes'}}, {'Sound Features': {'Impedance': '32 ohm', 'Maximum Frequency Response': '20 Hz'}}, {'Connectivity Features': {'Wireless Type': 'Bluetooth', 'Bluetooth Version': '5.0', 'Charging Time': '2 Hours', 'Play Time': '30 hr'}}, {'Dimensions': {'Width': '203 mm', 'Height': '209 mm', 'Depth': '82 mm', 'Weight': '205'}}, {'Warranty': {'Domestic Warranty': '1 Year', 'Warranty Summary': '1 year carry into service centre', 'Warranty Service Type': '1 year carry into service centre', 'Covered in Warranty': 'Manufacturing Defect', 'Not Covered in Warranty': 'Any Physical Damage And Accessories'}}]"
